,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,6.271998640993618e-23
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,3.222890985409031e-50
17,1.0
18,8.082532863228708e-42
19,1.0
20,1.0
21,1.0
22,1.0
23,1.3660260619270228e-28
24,2.1781724487819421e-07
25,1.0
26,1.0
27,3.4370429274211922e-53
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,5.690046229229667e-43
37,1.0
38,1.0
39,3.222890985409031e-50
40,3.608925937286613e-33
41,1.0
42,1.0
43,1.0105904378616783e-45
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,8.100697084135107e-22
50,1.0
51,1.0
52,3.416624789251064e-06
53,1.0
54,5.690046229229829e-43
55,6.605121638915885e-29
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,3.4003934465292194e-34
68,1.0
69,1.1070221298436868e-40
70,1.0
71,4.847104356141451e-09
72,1.0
73,8.429335260256009e-50
74,1.0
75,2.7062193219955424e-36
76,9.85588679977559e-05
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,4.619037046411009e-11
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,3.693209192671601e-32
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0105904378616783e-45
103,1.0
104,1.0
105,1.0
106,1.0
107,3.8624355880407837e-44
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,3.4672663330887265e-30
114,3.222890985409031e-50
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,2.330535425593769e-43
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,3.862435588040674e-44
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0105904378616783e-45
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.9416689361709048e-41
159,1.0
160,4.6545307677995006e-51
161,1.0
162,1.0
163,1.0
164,0.006788669546866931
165,1.0
166,1.0
167,1.0
168,7.867040354821838e-33
